Scan speed(mm/sec),Hatch distance(mm),Power (watt),Layer thickness(mm),Linear energy density(joule/m),Energy density (joule/mm^3),Density (g/cc),Densification
1150,0.12,340,0.06,295.65,41.06,2.42,0.9684
1250,0.13,340,0.06,272,34.87,2.46,0.982
1350,0.14,340,0.06,251.85,29.98,2.47,0.9872
950,0.15,340,0.06,357.89,39.77,2.48,0.9908
1150,0.11,350,0.06,304.35,46.11,2.47,0.9892
1250,0.12,350,0.06,280,38.89,2.47,0.9876
1350,0.13,350,0.06,259.26,33.24,2.46,0.9844
950,0.14,350,0.06,368.42,43.86,2.46,0.9844
1050,0.15,350,0.06,333.33,37.04,2.46,0.9848
1250,0.11,360,0.06,288,43.64,2.46,0.9856
1350,0.12,360,0.06,266.67,37.04,2.45,0.9816
950,0.13,360,0.06,378.95,48.58,2.45,0.978
1050,0.14,360,0.06,342.86,40.82,2.46,0.9856
1150,0.15,360,0.06,313.04,34.78,2.46,0.9848
1350,0.11,370,0.06,274.07,41.53,2.48,0.992
950,0.12,370,0.06,389.47,54.09,2.47,0.9888
1050,0.13,370,0.06,352.38,45.18,2.44,0.974
1150,0.14,370,0.06,321.74,38.3,2.48,0.9904
1250,0.15,370,0.06,296,32.89,2.43,0.9716
800,0.09,310,0.06,387.5,71.76,2.45,0.9808
1000,0.11,310,0.06,310,46.97,2.46,0.9836
1200,0.13,310,0.06,258.33,33.12,2.46,0.9828
1400,0.15,310,0.06,221.43,24.6,2.39,0.9556
1000,0.09,330,0.06,330,61.11,2.45,0.9808
800,0.11,330,0.06,412.5,62.5,2.45,0.9812
1400,0.13,330,0.06,235.71,30.22,2.46,0.9828
1200,0.15,330,0.06,275,30.56,2.46,0.9852
1200,0.09,350,0.06,291.67,54.01,2.38,0.9524
1400,0.11,350,0.06,250,37.88,2.42,0.966
800,0.13,350,0.06,437.5,56.09,2.47,0.9872
1000,0.15,350,0.06,350,38.89,2.47,0.9884
1400,0.09,370,0.06,264.29,48.94,2.46,0.9856
1200,0.11,370,0.06,308.33,46.72,2.48,0.9904
1000,0.13,370,0.06,370,47.44,2.41,0.964
800,0.15,370,0.06,462.5,51.39,2.45,0.9796
850,0.1,310,0.06,364.71,60.78,2.46,0.9824
900,0.11,310,0.06,344.44,52.19,2.46,0.9836
950,0.12,310,0.06,326.32,45.32,2.47,0.9868
1000,0.13,310,0.06,310,39.74,2.39,0.9552
850,0.09,320,0.06,376.47,69.72,2.46,0.9844
900,0.1,320,0.06,355.56,59.26,2.47,0.9868
950,0.11,320,0.06,336.84,51.04,2.44,0.974
1000,0.12,320,0.06,320,44.44,2.47,0.9888
800,0.13,320,0.06,400,51.28,2.47,0.988
900,0.09,330,0.06,366.67,67.9,2.47,0.9896
950,0.1,330,0.06,347.37,57.89,2.47,0.9896
1000,0.11,330,0.06,330,50,2.46,0.9832
800,0.12,330,0.06,412.5,57.29,2.47,0.988
850,0.13,330,0.06,388.24,49.77,2.47,0.9868
950,0.09,340,0.06,357.89,66.28,2.47,0.9864
1000,0.1,340,0.06,340,56.67,2.46,0.9836
800,0.11,340,0.06,425,64.39,2.47,0.9884
850,0.12,340,0.06,400,55.56,2.47,0.9896
900,0.13,340,0.06,377.78,48.43,2.48,0.9916
1050,0.11,310,0.06,295.24,44.73,2.46,0.984
1100,0.12,310,0.06,281.82,39.14,2.49,0.996
1150,0.13,310,0.06,269.57,34.56,2.48,0.9912
1200,0.14,310,0.06,258.33,30.75,2.48,0.9912
1250,0.15,310,0.06,248,27.56,2.45,0.9796
1100,0.11,320,0.06,290.91,44.08,2.48,0.99
1150,0.12,320,0.06,278.26,38.65,2.43,0.972
1200,0.13,320,0.06,266.67,34.19,2.47,0.9864
1250,0.14,320,0.06,256,30.48,2.46,0.9852
1050,0.15,320,0.06,304.76,33.86,2.48,0.99
1150,0.11,330,0.06,286.96,43.48,2.48,0.99
1200,0.12,330,0.06,275,38.19,2.47,0.9892
1250,0.13,330,0.06,264,33.85,2.47,0.9888
1050,0.14,330,0.06,314.29,37.41,2.42,0.9672
1100,0.15,330,0.06,300,33.33,2.48,0.9924
1200,0.11,340,0.06,283.33,42.93,2.47,0.9888
1250,0.12,340,0.06,272,37.78,2.48,0.992
1050,0.13,340,0.06,323.81,41.51,2.47,0.9868
1100,0.14,340,0.06,309.09,36.8,2.47,0.9896
1150,0.15,340,0.06,295.65,32.85,2.47,0.9896
